零	零 ⓪
一	一 ①
二	二 ②
三	三 ③
四	四 ④
五	五 ⑤
六	六 ⑥
七	七 ⑦
八	八 ⑧
九	九 ⑨
十	十 ⑩
十一	十一 ⑪
十二	十二 ⑫
十三	十三 ⑬
十四	十四 ⑭
十五	十五 ⑮
十六	十六 ⑯
十七	十七 ⑰
十八	十八 ⑱
十九	十九 ⑲
二十	二十 ⑳
二十一	二十一 ㉑
二十二	二十二 ㉒
二十三	二十三 ㉓
二十四	二十四 ㉔
二十五	二十五 ㉕
二十六	二十六 ㉖
二十七	二十七 ㉗
二十八	二十八 ㉘
二十九	二十九 ㉙
三十	三十 ㉚
三十一	三十一 ㉛
三十二	三十二 ㉜
三十三	三十三 ㉝
三十四	三十四 ㉞
三十五	三十五 ㉟
三十六	三十六 ㊱
三十七	三十七 ㊲
三十八	三十八 ㊳
三十九	三十九 ㊴
四十	四十 ㊵
四十一	四十一 ㊶
四十二	四十二 ㊷
四十三	四十三 ㊸
四十四	四十四 ㊹
四十五	四十五 ㊺
四十六	四十六 ㊻
四十七	四十七 ㊼
四十八	四十八 ㊽
四十九	四十九 ㊾
五十	五十 ㊿
一日	一日 ㏠
二日	二日 ㏡
三日	三日 ㏢
四日	四日 ㏣
五日	五日 ㏤
六日	六日 ㏥
七日	七日 ㏦
八日	八日 ㏧
九日	九日 ㏨
十日	十日 ㏩
十一日	十一日 ㏪
十二日	十二日 ㏫
十三日	十三日 ㏬
十四日	十四日 ㏭
十五日	十五日 ㏮
十六日	十六日 ㏯
十七日	十七日 ㏰
十八日	十八日 ㏱
十九日	十九日 ㏲
二十日	二十日 ㏳
二十一日	二十一日 ㏴
二十二日	二十二日 ㏵
二十三日	二十三日 ㏶
二十四日	二十四日 ㏷
二十五日	二十五日 ㏸
二十六日	二十六日 ㏹
二十七日	二十七日 ㏺
二十八日	二十八日 ㏻
二十九日	二十九日 ㏼
三十日	三十日 ㏽
三十一日	三十一日 ㏾
零點	零點 ㍘
一點	一點 ㍙
二點	二點 ㍚
三點	三點 ㍛
四點	四點 ㍜
五點	五點 ㍝
六點	六點 ㍞
七點	七點 ㍟
八點	八點 ㍠
九點	九點 ㍡
十點	十點 ㍢
十一點	十一點 ㍣
十二點	十二點 ㍤
十三點	十三點 ㍥
十四點	十四點 ㍦
十五點	十五點 ㍧
十六點	十六點 ㍨
十七點	十七點 ㍩
十八點	十八點 ㍪
十九點	十九點 ㍫
二十點	二十點 ㍬
二十一點	二十一點 ㍭
二十二點	二十二點 ㍮
二十三點	二十三點 ㍯
二十四點	二十四點 ㍰
一月	一月 ㋀
二月	二月 ㋁
三月	三月 ㋂
四月	四月 ㋃
五月	五月 ㋄
六月	六月 ㋅
七月	七月 ㋆
八月	八月 ㋇
九月	九月 ㋈
十月	十月 ㋉
十一月	十一月 ㋊
十二月	十二月 ㋋
平成	平成 ㍻
昭和	昭和 ㍼
大正	大正 ㍽
明治	明治 ㍾
令和	令和 ㋿
左	左 ←
上	上 ↑
右	右 →
下	下 ↓
左右	左右 ↔
上下	上下 ↕
左上	左上 ↖
右上	右上 ↗
右下	右下 ↘
左下	左下 ↙
全音符	全音符 𝅝
二分音符	二分音符 𝅗𝅥
四分音符	四分音符 𝅘𝅥
八分音符	八分音符 𝅘𝅥𝅮
十六分音符	十六分音符 𝅘𝅥𝅯
三十二分音符	三十二分音符 𝅘𝅥𝅰
六十四分音符	六十四分音符 𝅘𝅥𝅱
一百二十八分音符	一百二十八分音符 𝅘𝅥𝅲
全休止符	全休止符 𝄻
二分休止符	二分休止符 𝄼
四分休止符	四分休止符 𝄽
八分休止符	八分休止符 𝄾
十六分休止符	十六分休止符 𝄿
三十二分休止符	三十二分休止符 𝅀
六十四分休止符	六十四分休止符 𝅁
一百二十八分休止符	一百二十八分休止符 𝅂
升記號	升記號 ♯
降記號	降記號 ♭
還原記號	還原記號 ♮
重升記號	重升記號 𝄪
重降記號	重降記號 𝄫
高音譜號	高音譜號 𝄞
低音譜號	低音譜號 𝄢
根號	根號 √
三次根號	三次根號 ∛
四次根號	四次根號 ∜
正比於	正比於 ∝
無窮大	無窮大 ∞
角	角 ∠
平行於	平行於 ∥
交集	交集 ∩
並集	並集 ∪
積分	積分 ∫
雙重積分	雙重積分 ∬
二重積分	二重積分 ∬
三重積分	三重積分 ∭
所以	所以 ∴
因爲	因爲 ∵
相似於	相似於 ∽
全等於	全等於 ≌
垂直於	垂直於 ⊥
約等於	約等於 ≈
不等於	不等於 ≠
包含於	包含於 ⊂
小於等於	小於等於 ≤
大於等於	大於等於 ≥
異或	異或 ⊕
零次方	零次方 ⁰
一次方	一次方 ¹
二次方	二次方 ²
平方	平方 ²
三次方	三次方 ³
立方	立方 ³
四次方	四次方 ⁴
五次方	五次方 ⁵
六次方	六次方 ⁶
七次方	七次方 ⁷
八次方	八次方 ⁸
九次方	九次方 ⁹
攝氏度	攝氏度 ℃
華氏度	華氏度 ℉
百分號	百分號 ％
千分號	千分號 ‰
萬分號	萬分號 ‱
度	度 °
歐姆	歐姆 Ω
皮安	皮安 ㎀
納安	納安 ㎁
微安	微安 ㎂
毫安	毫安 ㎃
千安培	千安培 ㎄
千字節	千字節 ㎅
兆字節	兆字節 ㎆
吉字節	吉字節 ㎇
卡路里	卡路里 ㎈
卡	卡 ㎈
千卡	千卡 ㎉
皮法	皮法 ㎊
納法	納法 ㎋
微法	微法 ㎌
微克	微克 ㎍
毫克	毫克 ㎎
千克	千克 ㎏
赫	赫 ㎐
赫茲	赫茲 ㎐
千赫	千赫 ㎑
千赫茲	千赫茲 ㎑
兆赫	兆赫 ㎒
兆赫茲	兆赫茲 ㎒
吉赫	吉赫 ㎓
吉赫茲	吉赫茲 ㎓
太赫	太赫 ㎔
太赫茲	太赫茲 ㎔
費米	費米 ㎙
納米	納米 ㎚
微米	微米 ㎛
毫米	毫米 ㎜
釐米	釐米 ㎝
千米	千米 ㎞
平方毫米	平方毫米 ㎟
平方釐米	平方釐米 ㎠
平方米	平方米 ㎡
平方千米	平方千米 ㎢
立方毫米	立方毫米 ㎣
立方厘米	立方厘米 ㎤
立方米	立方米 ㎥
立方千米	立方千米 ㎦
米每秒	米每秒 ㎧
米每平方秒	米每平方秒 ㎨
帕	帕 ㎩
千帕	千帕 ㎪
兆帕	兆帕 ㎫
吉帕	吉帕 ㎬
弧度	弧度 ㎭
弧度每秒	弧度每秒 ㎮
每平方秒弧度	每平方秒弧度 ㎯
皮秒	皮秒 ㎰
納秒	納秒 ㎱
微秒	微秒 ㎲
毫秒	毫秒 ㎳
皮伏	皮伏 ㎴
納伏	納伏 ㎵
微伏	微伏 ㎶
毫伏	毫伏 ㎷
千伏	千伏 ㎸
兆伏	兆伏 ㎹
皮瓦	皮瓦 ㎺
納瓦	納瓦 ㎻
微瓦	微瓦 ㎼
毫瓦	毫瓦 ㎽
千瓦	千瓦 ㎾
兆瓦	兆瓦 ㎿
微歐	微歐 ㏀
兆歐	兆歐 ㏁
上午	上午 ㏂
貝可	貝可 ㏃
立方厘米	立方厘米 ㏄
坎	坎 ㏅
坎德拉	坎德拉 ㏅
庫倫每千克	庫倫每千克 ㏆
分貝	分貝 ㏈
戈瑞	戈瑞 ㏉
公頃	公頃 ㏊
馬力	馬力 ㏋
英寸	英寸 ㏌
節	節 ㏏
流明	流明 ㏐
勒克斯	勒克斯 ㏓
密耳	密耳 ㏕
摩爾	摩爾 ㏖
下午	下午 ㏘
百萬分比濃度	百萬分比濃度 ㏙
球面度	球面度 ㏛
希沃特	希沃特 ㏜
韋伯	韋伯 ㏝
牛頓每庫侖	牛頓每庫侖 ㏞
安每米	安每米 ㏟
安培每米	安培每米 ㏟
四分之一	四分之一 ¼
二分之一	二分之一 ½
四分之三	四分之三 ¾
七分之一	七分之一 ⅐
九分之一	九分之一 ⅑
十分之一	十分之一 ⅒
三分之一	三分之一 ⅓
三分之二	三分之二 ⅔
五分之一	五分之一 ⅕
五分之二	五分之二 ⅖
五分之三	五分之三 ⅗
五分之四	五分之四 ⅘
六分之一	六分之一 ⅙
六分之五	六分之五 ⅚
八分之一	八分之一 ⅛
八分之三	八分之三 ⅜
八分之五	八分之五 ⅝
八分之七	八分之七 ⅞
人民幣	人民幣 ¥
日元	日元 ￥
美分	美分 ￠
美元	美元 ＄
英鎊	英鎊 ￡
歐元	歐元 €
朝鮮元	朝鮮元 ₩
韓元	韓元 ₩
